URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w25.seq/435.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w25
Name	CA8393_16jun_alkyne_DMSO_DIPEA
Number	48
Position	RB6
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/16/2025 4:55:42 PM +02:00
Volume (µl)	8.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.423312
Signal Max.	362.270254
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000202
0.006667	0.2	-0.001387
0.010000	0.2	-0.004533
0.013333	0.2	-0.009693
0.016667	0.2	-0.015780
0.020000	0.2	-0.021486
0.023333	0.2	-0.026028
0.026667	0.2	-0.029421
0.030000	0.2	-0.032478
0.033333	0.2	-0.036111
0.036667	0.2	-0.040502
0.040000	0.2	-0.045201
0.043333	0.2	-0.049582
0.046667	0.2	-0.052982
0.050000	0.2	-0.054951
0.053333	0.2	-0.055664
0.056667	0.2	-0.056057
0.060000	0.2	-0.057431
0.063333	0.2	-0.060681
0.066667	0.2	-0.065697
0.070000	0.2	-0.071468
0.073333	0.2	-0.076918
0.076667	0.2	-0.081797
0.080000	0.2	-0.086503
0.083333	0.2	-0.091135
0.086667	0.2	-0.095418
0.090000	0.2	-0.099423
0.093333	0.2	-0.103558
0.096667	0.2	-0.108064
0.100000	0.2	-0.112902
0.103333	0.2	-0.117764
0.106667	0.2	-0.122278
0.110000	0.2	-0.126267
0.113333	0.2	-0.129617
0.116667	0.2	-0.132360
0.120000	0.2	-0.134835
0.123333	0.2	-0.137186
0.126667	0.2	-0.139050
0.130000	0.2	-0.140040
0.133333	0.2	-0.140331
0.136667	0.2	-0.140660
0.140000	0.2	-0.141723
0.143333	0.2	-0.143575
0.146667	0.2	-0.145766
0.150000	0.2	-0.148114
0.153333	0.2	-0.150852
0.156667	0.2	-0.153924
0.160000	0.2	-0.156700
0.163333	0.2	-0.158450
0.166667	0.2	-0.159558
0.170000	0.2	0.245264
0.173333	0.2	4.611625
0.176667	0.2	23.987590
0.180000	0.2	73.279971
0.183333	0.2	155.446635
0.186667	0.2	250.661632
0.190000	0.2	326.911586
0.193333	0.2	362.270254
0.196667	0.2	356.986744
0.200000	0.2	327.513964
0.203333	0.2	292.364889
0.206667	0.2	262.722446
0.210000	0.2	241.532138
0.213333	0.2	226.871398
0.216667	0.2	215.174184
0.220000	0.2	203.266254
0.223333	0.2	189.689097
0.226667	0.2	174.948630
0.230000	0.2	160.205363
0.233333	0.2	145.746242
0.236667	0.2	130.934976
0.240000	0.2	115.145637
0.243333	0.2	98.377781
0.246667	0.2	81.515532
0.250000	0.2	66.454216
0.253333	0.2	55.452253
0.256667	0.2	49.469976
0.260000	0.2	46.979096
0.263333	0.2	44.842305
0.266667	0.2	40.525768
0.270000	0.2	33.487855
0.273333	0.2	24.892024
0.276667	0.2	16.469443
0.280000	0.2	9.561791
0.283333	0.2	4.741801
