URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w25.seq/417.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w25
Name	CA8393_16jun_iEDDAC_DMSO_DIPEA
Number	51
Position	RE7
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/17/2025 8:13:54 AM +02:00
Volume (µl)	13.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.001990
Signal Max.	406.727139
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000097
0.006667	0.2	-0.000561
0.010000	0.2	-0.001438
0.013333	0.2	-0.001990
0.016667	0.2	-0.000895
0.020000	0.2	0.002808
0.023333	0.2	0.008706
0.026667	0.2	0.014905
0.030000	0.2	0.019311
0.033333	0.2	0.021249
0.036667	0.2	0.021771
0.040000	0.2	0.022462
0.043333	0.2	0.024044
0.046667	0.2	0.025904
0.050000	0.2	0.026887
0.053333	0.2	0.026489
0.056667	0.2	0.025051
0.060000	0.2	0.023123
0.063333	0.2	0.021032
0.066667	0.2	0.018847
0.070000	0.2	0.016593
0.073333	0.2	0.014322
0.076667	0.2	0.012058
0.080000	0.2	0.010139
0.083333	0.2	0.009266
0.086667	0.2	0.009843
0.090000	0.2	0.011500
0.093333	0.2	0.013172
0.096667	0.2	0.013814
0.100000	0.2	0.013420
0.103333	0.2	0.013121
0.106667	0.2	0.014023
0.110000	0.2	0.016106
0.113333	0.2	0.018444
0.116667	0.2	0.020157
0.120000	0.2	0.020882
0.123333	0.2	0.020721
0.126667	0.2	0.020110
0.130000	0.2	0.019566
0.133333	0.2	0.019495
0.136667	0.2	0.020089
0.140000	0.2	0.021217
0.143333	0.2	0.022476
0.146667	0.2	0.023491
0.150000	0.2	0.024360
0.153333	0.2	0.025584
0.156667	0.2	0.027562
0.160000	0.2	0.030596
0.163333	0.2	0.034794
0.166667	0.2	0.039766
0.170000	0.2	0.046207
0.173333	0.2	0.587935
0.176667	0.2	5.690803
0.180000	0.2	26.794582
0.183333	0.2	78.187333
0.186667	0.2	161.839299
0.190000	0.2	258.773585
0.193333	0.2	339.283594
0.196667	0.2	381.049017
0.200000	0.2	379.579790
0.203333	0.2	347.231657
0.206667	0.2	304.129971
0.210000	0.2	267.009366
0.213333	0.2	243.322989
0.216667	0.2	232.699924
0.220000	0.2	230.943722
0.223333	0.2	232.488340
0.226667	0.2	231.713285
0.230000	0.2	224.625300
0.233333	0.2	210.411732
0.236667	0.2	191.165939
0.240000	0.2	169.772746
0.243333	0.2	148.059795
0.246667	0.2	126.873469
0.250000	0.2	107.474318
0.253333	0.2	92.142505
0.256667	0.2	82.841023
0.260000	0.2	79.188264
0.263333	0.2	78.174712
0.266667	0.2	76.339167
0.270000	0.2	72.058288
0.273333	0.2	65.653310
0.276667	0.2	58.324246
0.280000	0.2	51.859737
0.283333	0.2	48.370874
0.286667	0.2	48.638828
0.290000	0.2	50.691106
0.293333	0.2	50.962196
0.296667	0.2	47.002654
0.300000	0.2	38.911460
0.303333	0.2	28.682557
0.306667	0.2	18.706998
0.310000	0.2	10.670090
0.313333	0.2	5.209084
0.316667	0.2	2.118678
0.320000	0.2	0.759635
0.323333	0.2	0.422137
0.326667	0.2	0.540180
0.330000	0.2	0.760747
0.333333	0.2	0.919276
0.336667	0.2	0.976462
0.340000	0.2	0.954857
0.343333	0.2	0.893743
0.346667	0.2	0.825564
0.350000	0.2	0.768604
0.353333	0.2	0.728422
0.356667	0.2	0.702780
0.360000	0.2	0.686750
0.363333	0.2	0.675804
0.366667	0.2	0.666613
0.370000	0.2	0.657162
0.373333	0.2	0.647004
0.376667	0.2	0.636858
0.380000	0.2	0.627616
0.383333	0.2	0.619720
0.386667	0.2	0.613010
0.390000	0.2	0.606970
0.393333	0.2	0.601208
0.396667	0.2	0.595725
0.400000	0.2	0.590767
0.403333	0.2	0.586392
0.406667	0.2	0.582326
0.410000	0.2	0.578560
0.413333	0.2	0.575889
0.416667	0.2	0.575868
0.420000	0.2	0.580712
0.423333	0.2	0.592862
0.426667	0.2	0.614053
0.430000	0.2	0.644900
0.433333	0.2	0.685279
0.436667	0.2	0.734922
0.440000	0.2	0.794274
0.443333	0.2	0.866434
0.446667	0.2	0.962435
0.450000	0.2	1.114315
0.453333	0.2	1.401025
0.456667	0.2	1.989499
0.460000	0.2	3.187938
0.463333	0.2	5.500888
0.466667	0.2	9.665321
0.470000	0.2	16.635393
0.473333	0.2	27.479465
0.476667	0.2	43.169657
0.480000	0.2	64.290171
0.483333	0.2	90.755805
0.486667	0.2	121.673510
0.490000	0.2	155.446042
0.493333	0.2	190.108396
0.496667	0.2	223.772898
0.500000	0.2	255.010228
0.503333	0.2	283.034991
0.506667	0.2	307.664182
0.510000	0.2	329.114002
0.513333	0.2	347.746586
0.516667	0.2	363.866232
0.520000	0.2	377.615960
0.523333	0.2	388.968204
0.526667	0.2	397.767450
0.530000	0.2	403.780112
0.533333	0.2	406.727139
0.536667	0.2	406.299811
0.540000	0.2	402.175005
0.543333	0.2	394.048654
0.546667	0.2	381.694760
0.550000	0.2	365.041242
0.553333	0.2	344.243585
0.556667	0.2	319.732776
0.560000	0.2	292.218181
0.563333	0.2	262.640168
0.566667	0.2	232.081261
0.570000	0.2	201.653276
0.573333	0.2	172.382796
0.576667	0.2	145.116230
0.580000	0.2	120.458949
0.583333	0.2	98.754402
0.586667	0.2	80.100389
0.590000	0.2	64.393407
0.593333	0.2	51.388530
0.596667	0.2	40.761060
0.600000	0.2	32.159465
0.603333	0.2	25.244641
0.606667	0.2	19.713980
0.610000	0.2	15.311206
0.613333	0.2	11.825786
0.616667	0.2	9.086788
0.620000	0.2	6.955145
0.623333	0.2	5.316426
0.626667	0.2	4.074691
