URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w23.seq/905.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w23
Name	CA8393_2jun_SPAAC_pAz_48h
Number	228
Position	GB4
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/4/2025 3:51:22 PM +02:00
Volume (µl)	6.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.605374
Signal Max.	341.478334
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000133
0.006667	0.2	-0.000905
0.010000	0.2	-0.003022
0.013333	0.2	-0.006690
0.016667	0.2	-0.011230
0.020000	0.2	-0.015691
0.023333	0.2	-0.019788
0.026667	0.2	-0.023740
0.030000	0.2	-0.027565
0.033333	0.2	-0.031344
0.036667	0.2	-0.035615
0.040000	0.2	-0.040714
0.043333	0.2	-0.046210
0.046667	0.2	-0.051380
0.050000	0.2	-0.055746
0.053333	0.2	-0.059235
0.056667	0.2	-0.062204
0.060000	0.2	-0.064974
0.063333	0.2	-0.067547
0.066667	0.2	-0.070030
0.070000	0.2	-0.072789
0.073333	0.2	-0.076125
0.076667	0.2	-0.080189
0.080000	0.2	-0.085055
0.083333	0.2	-0.090657
0.086667	0.2	-0.096669
0.090000	0.2	-0.102502
0.093333	0.2	-0.107548
0.096667	0.2	-0.111478
0.100000	0.2	-0.114433
0.103333	0.2	-0.117079
0.106667	0.2	-0.120289
0.110000	0.2	-0.124488
0.113333	0.2	-0.129336
0.116667	0.2	-0.134171
0.120000	0.2	-0.138595
0.123333	0.2	-0.142578
0.126667	0.2	-0.146385
0.130000	0.2	-0.150517
0.133333	0.2	-0.155319
0.136667	0.2	-0.160633
0.140000	0.2	-0.165958
0.143333	0.2	-0.170722
0.146667	0.2	-0.174559
0.150000	0.2	-0.177735
0.153333	0.2	-0.181051
0.156667	0.2	-0.185151
0.160000	0.2	-0.190137
0.163333	0.2	-0.195620
0.166667	0.2	-0.200965
0.170000	0.2	-0.205659
0.173333	0.2	-0.209279
0.176667	0.2	-0.211242
0.180000	0.2	-0.211282
0.183333	0.2	-0.211388
0.186667	0.2	-0.168852
0.190000	0.2	0.473242
0.193333	0.2	3.588782
0.196667	0.2	11.467925
0.200000	0.2	23.583941
0.203333	0.2	35.410044
0.206667	0.2	41.950486
0.210000	0.2	41.681114
0.213333	0.2	36.759526
0.216667	0.2	30.631089
0.220000	0.2	25.786547
0.223333	0.2	22.912730
0.226667	0.2	21.312954
0.230000	0.2	19.853620
0.233333	0.2	17.713672
0.236667	0.2	14.675290
0.240000	0.2	11.077230
0.243333	0.2	7.607773
0.246667	0.2	4.992721
0.250000	0.2	3.619678
0.253333	0.2	3.358120
0.256667	0.2	3.798231
0.260000	0.2	4.637580
0.263333	0.2	5.782109
0.266667	0.2	7.173132
0.270000	0.2	8.644215
0.273333	0.2	9.936773
0.276667	0.2	10.804242
0.280000	0.2	11.118735
0.283333	0.2	10.915701
0.286667	0.2	10.347324
0.290000	0.2	9.588097
0.293333	0.2	8.765295
0.296667	0.2	7.943702
0.300000	0.2	7.145604
0.303333	0.2	6.377389
0.306667	0.2	5.646995
0.310000	0.2	4.968628
0.313333	0.2	4.358203
0.316667	0.2	3.826483
0.320000	0.2	3.375042
0.323333	0.2	2.995754
0.326667	0.2	2.672931
0.330000	0.2	2.387828
0.333333	0.2	2.124228
0.336667	0.2	1.872200
0.340000	0.2	1.628348
0.343333	0.2	1.393667
0.346667	0.2	1.171293
0.350000	0.2	0.965146
0.353333	0.2	0.778775
0.356667	0.2	0.614075
0.360000	0.2	0.470771
0.363333	0.2	0.347038
0.366667	0.2	0.240331
0.370000	0.2	0.148054
0.373333	0.2	0.068101
0.376667	0.2	-0.001306
0.380000	0.2	-0.062023
0.383333	0.2	-0.115463
0.386667	0.2	-0.162088
0.390000	0.2	-0.202046
0.393333	0.2	-0.235801
0.396667	0.2	-0.264018
0.400000	0.2	-0.287507
0.403333	0.2	-0.307238
0.406667	0.2	-0.323964
0.410000	0.2	-0.337981
0.413333	0.2	-0.349502
0.416667	0.2	-0.359148
0.420000	0.2	-0.367762
0.423333	0.2	-0.375773
0.426667	0.2	-0.383084
0.430000	0.2	-0.389365
0.433333	0.2	-0.394241
0.436667	0.2	-0.397734
0.440000	0.2	-0.400609
0.443333	0.2	-0.403759
0.446667	0.2	-0.407456
0.450000	0.2	-0.411495
0.453333	0.2	-0.415775
0.456667	0.2	-0.420607
0.460000	0.2	-0.426406
0.463333	0.2	-0.432969
0.466667	0.2	-0.439379
0.470000	0.2	-0.444723
0.473333	0.2	-0.448596
