URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w24.seq/31208.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w24
Name	CA8393_2jun_iEDDAC_MeMeTet_over72h
Number	15
Position	BA6
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/9/2025 11:37:00 AM +02:00
Volume (µl)	7.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.048014
Signal Max.	108.215169
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000089
0.006667	0.2	-0.000444
0.010000	0.2	-0.000874
0.013333	0.2	-0.000658
0.016667	0.2	0.000774
0.020000	0.2	0.003353
0.023333	0.2	0.006319
0.026667	0.2	0.008362
0.030000	0.2	0.008591
0.033333	0.2	0.007352
0.036667	0.2	0.005516
0.040000	0.2	0.003508
0.043333	0.2	0.001380
0.046667	0.2	-0.000829
0.050000	0.2	-0.003110
0.053333	0.2	-0.005601
0.056667	0.2	-0.008567
0.060000	0.2	-0.012327
0.063333	0.2	-0.016945
0.066667	0.2	-0.021782
0.070000	0.2	-0.025771
0.073333	0.2	-0.028390
0.076667	0.2	-0.029952
0.080000	0.2	-0.031060
0.083333	0.2	-0.032299
0.086667	0.2	-0.034139
0.090000	0.2	-0.036673
0.093333	0.2	-0.039563
0.096667	0.2	-0.042297
0.100000	0.2	-0.044546
0.103333	0.2	-0.046141
0.106667	0.2	-0.046792
0.110000	0.2	-0.046349
0.113333	0.2	-0.045184
0.116667	0.2	-0.043873
0.120000	0.2	-0.042778
0.123333	0.2	-0.042060
0.126667	0.2	-0.041810
0.130000	0.2	-0.042153
0.133333	0.2	-0.043196
0.136667	0.2	-0.044822
0.140000	0.2	-0.046595
0.143333	0.2	-0.047872
0.146667	0.2	-0.048014
0.150000	0.2	-0.046835
0.153333	0.2	-0.044836
0.156667	0.2	-0.042686
0.160000	0.2	-0.040625
0.163333	0.2	-0.038434
0.166667	0.2	-0.004026
0.170000	0.2	0.643408
0.173333	0.2	4.217861
0.176667	0.2	14.168290
0.180000	0.2	30.916368
0.183333	0.2	49.162855
0.186667	0.2	61.576879
0.190000	0.2	64.633859
0.193333	0.2	60.384851
0.196667	0.2	53.960701
0.200000	0.2	49.794713
0.203333	0.2	49.113138
0.206667	0.2	50.026221
0.210000	0.2	49.677930
0.213333	0.2	46.383091
0.216667	0.2	40.193005
0.220000	0.2	32.213367
0.223333	0.2	23.819696
0.226667	0.2	16.239749
0.230000	0.2	10.373658
0.233333	0.2	6.731186
0.236667	0.2	5.377058
0.240000	0.2	5.832595
0.243333	0.2	7.157097
0.246667	0.2	8.358554
0.250000	0.2	8.837413
0.253333	0.2	8.511113
0.256667	0.2	7.637542
0.260000	0.2	6.567299
0.263333	0.2	5.578579
0.266667	0.2	4.819602
0.270000	0.2	4.322836
0.273333	0.2	4.048370
0.276667	0.2	3.927353
0.280000	0.2	3.892765
0.283333	0.2	3.895442
0.286667	0.2	3.907590
0.290000	0.2	3.918170
0.293333	0.2	3.925664
0.296667	0.2	3.932232
0.300000	0.2	3.940015
0.303333	0.2	3.949182
0.306667	0.2	3.957749
0.310000	0.2	3.962787
0.313333	0.2	3.961631
0.316667	0.2	3.952144
0.320000	0.2	3.932848
0.323333	0.2	3.903242
0.326667	0.2	3.863807
0.330000	0.2	3.816199
0.333333	0.2	3.763735
0.336667	0.2	3.711758
0.340000	0.2	3.667168
0.343333	0.2	3.636468
0.346667	0.2	3.623710
0.350000	0.2	3.630022
0.353333	0.2	3.654172
0.356667	0.2	3.693098
0.360000	0.2	3.742144
0.363333	0.2	3.795107
0.366667	0.2	3.844658
0.370000	0.2	3.883395
0.373333	0.2	3.904927
0.376667	0.2	3.904713
0.380000	0.2	3.881121
0.383333	0.2	3.836347
0.386667	0.2	3.776040
0.390000	0.2	3.707737
0.393333	0.2	3.639160
0.396667	0.2	3.577028
0.400000	0.2	3.527754
0.403333	0.2	3.501256
0.406667	0.2	3.518120
0.410000	0.2	3.622271
0.413333	0.2	3.902341
0.416667	0.2	4.521244
0.420000	0.2	5.747268
0.423333	0.2	7.968568
0.426667	0.2	11.657233
0.430000	0.2	17.252479
0.433333	0.2	24.976911
0.436667	0.2	34.665246
0.440000	0.2	45.711379
0.443333	0.2	57.188499
0.446667	0.2	68.098826
