URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w25.seq/940.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w25
Name	CA8393_16jun_SPAAC_DMSO_DIPEA
Number	52
Position	RE8
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/17/2025 8:18:30 AM +02:00
Volume (µl)	13.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.353841
Signal Max.	1,459.412012
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000175
0.006667	0.2	-0.001156
0.010000	0.2	-0.003603
0.013333	0.2	-0.007268
0.016667	0.2	-0.011115
0.020000	0.2	-0.014725
0.023333	0.2	-0.019235
0.026667	0.2	-0.026059
0.030000	0.2	-0.034697
0.033333	0.2	-0.043006
0.036667	0.2	-0.049290
0.040000	0.2	-0.052889
0.043333	0.2	-0.053667
0.046667	0.2	-0.052189
0.050000	0.2	-0.049693
0.053333	0.2	-0.047261
0.056667	0.2	-0.045633
0.060000	0.2	-0.045803
0.063333	0.2	-0.048621
0.066667	0.2	-0.053923
0.070000	0.2	-0.060692
0.073333	0.2	-0.067644
0.076667	0.2	-0.073606
0.080000	0.2	-0.077968
0.083333	0.2	-0.080933
0.086667	0.2	-0.083338
0.090000	0.2	-0.086217
0.093333	0.2	-0.090064
0.096667	0.2	-0.094523
0.100000	0.2	-0.098968
0.103333	0.2	-0.103023
0.106667	0.2	-0.106580
0.110000	0.2	-0.109587
0.113333	0.2	-0.112000
0.116667	0.2	-0.114029
0.120000	0.2	-0.116166
0.123333	0.2	-0.118852
0.126667	0.2	-0.122171
0.130000	0.2	-0.125822
0.133333	0.2	-0.129388
0.136667	0.2	-0.132520
0.140000	0.2	-0.134961
0.143333	0.2	-0.136816
0.146667	0.2	-0.138703
0.150000	0.2	-0.141250
0.153333	0.2	-0.144509
0.156667	0.2	-0.147863
0.160000	0.2	-0.150329
0.163333	0.2	-0.151146
0.166667	0.2	-0.151031
0.170000	0.2	0.153023
0.173333	0.2	3.871572
0.176667	0.2	21.612499
0.180000	0.2	69.274019
0.183333	0.2	153.082611
0.186667	0.2	256.952265
0.190000	0.2	348.936516
0.193333	0.2	400.551713
0.196667	0.2	402.025666
0.200000	0.2	364.982397
0.203333	0.2	313.666351
0.206667	0.2	270.776763
0.210000	0.2	246.673146
0.213333	0.2	238.602042
0.216667	0.2	237.891065
0.220000	0.2	237.152025
0.223333	0.2	233.113545
0.226667	0.2	226.032253
0.230000	0.2	217.521815
0.233333	0.2	208.440098
0.236667	0.2	198.221347
0.240000	0.2	185.327053
0.243333	0.2	168.173687
0.246667	0.2	146.723530
0.250000	0.2	123.599705
0.253333	0.2	102.873453
0.256667	0.2	87.266099
0.260000	0.2	76.709316
0.263333	0.2	69.727110
0.266667	0.2	65.740418
0.270000	0.2	65.377026
0.273333	0.2	68.747320
0.276667	0.2	74.311783
0.280000	0.2	79.418300
0.283333	0.2	81.266680
0.286667	0.2	77.775244
0.290000	0.2	68.543448
0.293333	0.2	55.194791
0.296667	0.2	40.539725
0.300000	0.2	27.228674
0.303333	0.2	16.849981
0.306667	0.2	9.780943
0.310000	0.2	5.545755
0.313333	0.2	3.307699
0.316667	0.2	2.249325
0.320000	0.2	1.764011
0.323333	0.2	1.491633
