URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w20.seq/72118.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w20
Name	CA8393_prep
Number	464
Position	GA6
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	5/19/2025 1:25:25 PM +02:00
Volume (µl)	5.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.265902
Signal Max.	193.244462
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000158
0.006667	0.2	-0.000973
0.010000	0.2	-0.002813
0.013333	0.2	-0.005261
0.016667	0.2	-0.007449
0.020000	0.2	-0.008866
0.023333	0.2	-0.009780
0.026667	0.2	-0.010950
0.030000	0.2	-0.012744
0.033333	0.2	-0.014801
0.036667	0.2	-0.016638
0.040000	0.2	-0.018098
0.043333	0.2	-0.019261
0.046667	0.2	-0.020605
0.050000	0.2	-0.022932
0.053333	0.2	-0.026575
0.056667	0.2	-0.031151
0.060000	0.2	-0.036143
0.063333	0.2	-0.041047
0.066667	0.2	-0.045099
0.070000	0.2	-0.047565
0.073333	0.2	-0.048483
0.076667	0.2	-0.048601
0.080000	0.2	-0.048458
0.083333	0.2	-0.048231
0.086667	0.2	-0.048260
0.090000	0.2	-0.048836
0.093333	0.2	-0.049973
0.096667	0.2	-0.051894
0.100000	0.2	-0.054979
0.103333	0.2	-0.059056
0.106667	0.2	-0.063409
0.110000	0.2	-0.067439
0.113333	0.2	-0.071023
0.116667	0.2	-0.074306
0.120000	0.2	-0.077235
0.123333	0.2	-0.079401
0.126667	0.2	-0.080581
0.130000	0.2	-0.081199
0.133333	0.2	-0.081816
0.136667	0.2	-0.082415
0.140000	0.2	-0.082553
0.143333	0.2	-0.082076
0.146667	0.2	-0.081470
0.150000	0.2	-0.081418
0.153333	0.2	-0.082151
0.156667	0.2	-0.083415
0.160000	0.2	-0.084941
0.163333	0.2	-0.086608
0.166667	0.2	-0.092263
0.170000	0.2	0.052630
0.173333	0.2	1.396583
0.176667	0.2	6.238255
0.180000	0.2	15.922507
0.183333	0.2	27.924002
0.186667	0.2	37.086540
0.190000	0.2	40.073878
0.193333	0.2	37.653822
0.196667	0.2	33.292397
0.200000	0.2	30.335195
0.203333	0.2	29.956690
0.206667	0.2	30.954998
0.210000	0.2	31.234187
0.213333	0.2	29.576037
0.216667	0.2	26.208495
0.220000	0.2	22.049810
0.223333	0.2	17.904732
0.226667	0.2	14.543645
0.230000	0.2	12.843853
0.233333	0.2	13.038203
0.236667	0.2	14.110164
0.240000	0.2	14.532039
0.243333	0.2	13.465122
0.246667	0.2	11.100629
0.250000	0.2	8.185711
0.253333	0.2	5.448004
0.256667	0.2	3.305516
0.260000	0.2	1.853528
0.263333	0.2	0.983493
0.266667	0.2	0.513825
0.270000	0.2	0.276830
0.273333	0.2	0.154638
0.276667	0.2	0.080587
0.280000	0.2	0.025206
0.283333	0.2	-0.020525
0.286667	0.2	-0.057712
0.290000	0.2	-0.086042
0.293333	0.2	-0.106194
0.296667	0.2	-0.119951
0.300000	0.2	-0.129304
0.303333	0.2	-0.135757
0.306667	0.2	-0.140269
0.310000	0.2	-0.143547
0.313333	0.2	-0.146186
0.316667	0.2	-0.148624
0.320000	0.2	-0.151265
0.323333	0.2	-0.154469
0.326667	0.2	-0.158281
0.330000	0.2	-0.162391
0.333333	0.2	-0.166317
0.336667	0.2	-0.169527
0.340000	0.2	-0.171456
0.343333	0.2	-0.171668
0.346667	0.2	-0.169997
0.350000	0.2	-0.166433
0.353333	0.2	-0.161224
0.356667	0.2	-0.154962
0.360000	0.2	-0.148259
0.363333	0.2	-0.141681
0.366667	0.2	-0.135911
0.370000	0.2	-0.131672
0.373333	0.2	-0.129492
0.376667	0.2	-0.129477
0.380000	0.2	-0.131179
0.383333	0.2	-0.133774
0.386667	0.2	-0.136694
0.390000	0.2	-0.140020
0.393333	0.2	-0.144052
0.396667	0.2	-0.148640
0.400000	0.2	-0.153185
0.403333	0.2	-0.157197
0.406667	0.2	-0.160666
0.410000	0.2	-0.163946
0.413333	0.2	-0.167335
0.416667	0.2	-0.170754
0.420000	0.2	-0.173742
0.423333	0.2	-0.175708
0.426667	0.2	-0.176486
0.430000	0.2	-0.176671
0.433333	0.2	-0.177109
0.436667	0.2	-0.178271
0.440000	0.2	-0.180110
0.443333	0.2	-0.182143
0.446667	0.2	-0.183796
0.450000	0.2	-0.184885
0.453333	0.2	-0.185736
0.456667	0.2	-0.186738
0.460000	0.2	-0.187785
0.463333	0.2	-0.188410
0.466667	0.2	-0.188171
0.470000	0.2	-0.186530
0.473333	0.2	-0.182842
0.476667	0.2	-0.176744
0.480000	0.2	-0.168265
0.483333	0.2	-0.157821
0.486667	0.2	-0.146278
0.490000	0.2	-0.134733
0.493333	0.2	-0.124233
0.496667	0.2	-0.115617
0.500000	0.2	-0.109352
0.503333	0.2	-0.105513
0.506667	0.2	-0.103874
0.510000	0.2	-0.103967
0.513333	0.2	-0.105343
0.516667	0.2	-0.108010
0.520000	0.2	-0.112222
0.523333	0.2	-0.117780
0.526667	0.2	-0.124156
0.530000	0.2	-0.131008
0.533333	0.2	-0.138166
0.536667	0.2	-0.145538
0.540000	0.2	-0.153272
0.543333	0.2	-0.161750
0.546667	0.2	-0.171046
0.550000	0.2	-0.180390
0.553333	0.2	-0.188585
0.556667	0.2	-0.194913
0.560000	0.2	-0.199437
0.563333	0.2	-0.202705
0.566667	0.2	-0.205329
0.570000	0.2	-0.207737
0.573333	0.2	-0.210245
0.576667	0.2	-0.213211
0.580000	0.2	-0.216754
0.583333	0.2	-0.220528
0.586667	0.2	-0.224185
0.590000	0.2	-0.227473
0.593333	0.2	-0.229835
0.596667	0.2	-0.230822
0.600000	0.2	-0.230766
0.603333	0.2	-0.230578
0.606667	0.2	-0.231013
0.610000	0.2	-0.232298
0.613333	0.2	-0.234206
0.616667	0.2	-0.236212
0.620000	0.2	-0.237863
0.623333	0.2	-0.239166
0.626667	0.2	-0.240524
0.630000	0.2	-0.242355
0.633333	0.2	-0.244661
0.636667	0.2	-0.246860
0.640000	0.2	-0.248393
0.643333	0.2	-0.249388
0.646667	0.2	-0.250268
0.650000	0.2	-0.251089
0.653333	0.2	-0.251582
0.656667	0.2	-0.251421
0.660000	0.2	-0.250612
0.663333	0.2	-0.249638
0.666667	0.2	-0.248978
0.670000	0.2	-0.248753
0.673333	0.2	-0.249013
0.676667	0.2	-0.249958
0.680000	0.2	-0.251547
0.683333	0.2	-0.253410
0.686667	0.2	-0.255463
0.690000	0.2	-0.257948
0.693333	0.2	-0.260674
0.696667	0.2	-0.262819
0.700000	0.2	-0.263613
0.703333	0.2	-0.262936
0.706667	0.2	-0.261293
0.710000	0.2	-0.259553
0.713333	0.2	-0.258682
0.716667	0.2	-0.259268
0.720000	0.2	-0.261039
0.723333	0.2	-0.263092
0.726667	0.2	-0.264692
0.730000	0.2	-0.265634
0.733333	0.2	-0.265902
0.736667	0.2	-0.265304
0.740000	0.2	-0.263578
0.743333	0.2	-0.260873
0.746667	0.2	-0.258090
0.750000	0.2	-0.256475
0.753333	0.2	-0.256411
0.756667	0.2	-0.256757
