URL	chrom://pc-3vxg514/ChromeleonLocal/Data/2025/2025_w23.seq/970.smp/UV_VIS_2.channel/UV_VIS_2.chm
Channel	UV_VIS_2

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2025_w23
Name	CA8393_2jun_iEDDAC_alkyne
Number	40
Position	RA1
Comment	
Processing Method	General_ILK
Instrument Method	5-100pct_positive_3min
Type	Calibration Standard
Status	Finished
Inject Time	6/2/2025 3:06:14 PM +02:00
Volume (µl)	18.0000
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.000000
Time Max. (min)	3.100000
Data Points	931
Detector	UV
Generating Data System	Chromeleon 7.3.2.11814
Exporting Data System	Chromeleon 7.3.2.0
Operator	Instrument Controller
Signal Quantity	Absorbance
Signal Unit	mAU
Signal Min.	-0.483825
Signal Max.	184.159491
Channel	UV_VIS_2
Driver Name	DAD3000.dll
Channel Type	Evaluation
Min. Step (s)	0.2
Max. Step (s)	0.2
Average Step (s)	0.2

Signal Parameter Information:
Signal Info	WVL:254 nm

Chromatogram Data:
Time (min)	Step (s)	Value (mAU)
0.000000	n.a.	0.000000
0.003333	0.2	-0.000351
0.006667	0.2	-0.002237
0.010000	0.2	-0.006761
0.013333	0.2	-0.013398
0.016667	0.2	-0.020557
0.020000	0.2	-0.027357
0.023333	0.2	-0.033816
0.026667	0.2	-0.039796
0.030000	0.2	-0.044737
0.033333	0.2	-0.048348
0.036667	0.2	-0.050949
0.040000	0.2	-0.053172
0.043333	0.2	-0.055576
0.046667	0.2	-0.058491
0.050000	0.2	-0.061931
0.053333	0.2	-0.065553
0.056667	0.2	-0.068853
0.060000	0.2	-0.071470
0.063333	0.2	-0.073567
0.066667	0.2	-0.076051
0.070000	0.2	-0.079815
0.073333	0.2	-0.084721
0.076667	0.2	-0.089815
0.080000	0.2	-0.094186
0.083333	0.2	-0.097413
0.086667	0.2	-0.099816
0.090000	0.2	-0.102333
0.093333	0.2	-0.105517
0.096667	0.2	-0.108841
0.100000	0.2	-0.111632
0.103333	0.2	-0.114005
0.106667	0.2	-0.116415
0.110000	0.2	-0.119233
0.113333	0.2	-0.122860
0.116667	0.2	-0.127323
0.120000	0.2	-0.132053
0.123333	0.2	-0.136465
0.126667	0.2	-0.140173
0.130000	0.2	-0.142835
0.133333	0.2	-0.144726
0.136667	0.2	-0.146904
0.140000	0.2	-0.150091
0.143333	0.2	-0.154014
0.146667	0.2	-0.157839
0.150000	0.2	-0.160805
0.153333	0.2	-0.162839
0.156667	0.2	-0.164805
0.160000	0.2	-0.167669
0.163333	0.2	-0.171396
0.166667	0.2	-0.175122
